a,z,V,c,s
-0.1796875,0.975,-49.8664124775481,1.07733490765156,-0.104131782651565
-0.1796875,1,-49.7836136926785,1.08386414643017,-0.0856610214301708
-0.1796875,1.025,-49.7024351731356,1.08973162543368,-0.0665285004336815
-0.1796875,1.05,-49.6221772510151,1.09530297159996,-0.0470998465999588
-0.1796875,1.075,-49.542733408804,1.10064011458565,-0.0274369895856539
-0.1796875,1.1,-49.4640490597667,1.1057701926955,-0.00756706769550397
-0.1796875,1.125,-49.3861261498733,1.11472610631486,0.00847701868513684
-0.1796875,1.15,-49.3089464732143,1.11930203626045,0.0289010887395524
-0.1796875,1.175,-49.2325671220315,1.1237600457366,0.0494430792633986
-0.1796875,1.2,-49.159565099065,1.12796679852548,0.0702363264745178
-0.09765625,0.8,-50.4006010829816,1.02700879012982,-0.227985352629819
-0.09765625,0.825,-50.3131774467472,1.03602898691956,-0.212005549419556
-0.09765625,0.85,-50.2238491318193,1.04495224123809,-0.195928803738093
-0.09765625,0.875,-50.1358205923566,1.05340817333892,-0.179384735838916
-0.09765625,0.9,-50.0491426830469,1.06138636933606,-0.162362931836056
-0.09765625,0.925,-49.9637347785886,1.06889931769759,-0.144875880197587
-0.09765625,0.95,-49.8795170811194,1.07596639719299,-0.126942959692987
-0.09765625,0.975,-49.7964226388088,1.0826103340426,-0.108586896542604
-0.09765625,1,-49.7144230888258,1.08884510819461,-0.0898216706946144
-0.09765625,1.025,-49.6339563732757,1.09448948750658,-0.0704660500065843
-0.09765625,1.05,-49.5543668049399,1.09987001950659,-0.0508465820065949
-0.09765625,1.075,-49.4755560728616,1.10504070598494,-0.0310172684849404
-0.09765625,1.1,-49.3974735462494,1.11002408546869,-0.0110006479686948
-0.09765625,1.125,-49.3201110955317,1.11875619835694,0.00526723914306104
-0.09765625,1.15,-49.2434700809533,1.12323381764143,0.0257896198585654
-0.09765625,1.175,-49.167609195254,1.12760338790918,0.0464200495908165
-0.09765625,1.2,-49.0950907900228,1.1317320365709,0.067291400929103
-0.015625,0.8,-50.3240156029795,1.03494303323897,-0.235099283238967
-0.015625,0.825,-50.2378385344371,1.0434700583707,-0.218626308370696
-0.015625,0.85,-50.1497137109253,1.05190564558057,-0.202061895580571
-0.015625,0.875,-50.0627998087919,1.05990372944275,-0.185059979442749
-0.015625,0.9,-49.9771519330956,1.06745927690134,-0.167615526901338
-0.015625,0.925,-49.8926960809722,1.07458845263666,-0.149744702636655
-0.015625,0.95,-49.8093591980316,1.08131300571504,-0.131469255715036
-0.015625,0.975,-49.72708074653,1.08765665193712,-0.112812901937118
-0.015625,1,-49.645837097845,1.093633879623,-0.0937901296230043
-0.015625,1.025,-49.5660485529126,1.09908117457654,-0.0742374245765391
-0.015625,1.05,-49.4870982930639,1.10429156438821,-0.0544478143882072
-0.015625,1.075,-49.4088951174681,1.10931247737811,-0.0344687273781086
-0.015625,1.1,-49.3313917533577,1.11416306168794,-0.0143193116879416
-0.015625,1.125,-49.2545707962005,1.12269443867783,0.00214931132217022
-0.015625,1.15,-49.1784512751443,1.12708633632688,0.0227574136731241
-0.015625,1.175,-49.1030933211996,1.13137786413772,0.0434658858622761
-0.015625,1.2,-49.0310447754599,1.13543446686486,0.0644092831351413
0.06640625,0.8,-50.2485163389376,1.04236136432444,-0.241697301824444
0.06640625,0.825,-50.1634964875113,1.05044279692843,-0.224778734428431
0.06640625,0.85,-50.0764908922252,1.05844048537997,-0.207776422879966
0.06640625,0.875,-49.9906159125612,1.06603019158752,-0.190366129087519
0.06640625,0.9,-49.905930764788,1.07321100646995,-0.172546943969948
0.06640625,0.925,-49.8223677000914,1.08000149141583,-0.154337428915832
0.06640625,0.95,-49.7398599383169,1.08642456155438,-0.135760499054378
0.06640625,0.975,-49.6583528086483,1.09250393027176,-0.116839867771759
0.06640625,1,-49.5778269235891,1.09825381605936,-0.0975897535593553
0.06640625,1.025,-49.4986866023069,1.10352540926427,-0.0778613467642744
0.06640625,1.05,-49.4203495646649,1.10858287756243,-0.057918815062427
0.06640625,1.075,-49.3427308210363,1.11346819243895,-0.0378041299389487
0.06640625,1.1,-49.2657860029711,1.1181979999902,-0.0175339374901964
0.06640625,1.125,-49.1894895010811,1.1256640625,0
0.06640625,1.15,-49.1138761941147,1.13090260130449,0.0197614611955086
0.06640625,1.175,-49.0390072017627,1.13510617589711,0.0405578866028899
0.06640625,1.2,-48.9674157630237,1.13908205893029,0.0615820035697077
0.1484375,0.8,-50.1740168463859,1.04933221823542,-0.247847843235422
0.1484375,0.825,-50.0900753962728,1.05701036801792,-0.23052599301792
0.1484375,0.85,-50.0041148167008,1.06461394246357,-0.213129567463571
0.1484375,0.875,-49.9192121914707,1.07183822760226,-0.195353852602255
0.1484375,0.9,-49.8354306615526,1.0786853694272,-0.1772009944272
0.1484375,0.925,-49.7527083346699,1.08517531937106,-0.158690944371057
0.1484375,0.95,-49.6709842232546,1.09133128297247,-0.139846907972468
0.1484375,0.975,-49.5902089879548,1.0971763174262,-0.120691942426204
0.1484375,1,-49.5103670145726,1.10272390457912,-0.101239529579122
0.1484375,1.025,-49.4318480391416,1.10783762837939,-0.0813532533793926
0.1484375,1.05,-49.3541006317513,1.11275670816118,-0.06127233316118
0.1484375,1.075,-49.2770452873281,1.11751869777546,-0.041034322775457
0.1484375,1.1,-49.2006405015596,1.12214104807227,-0.0206566730722699
0.1484375,1.125,-49.1248589846202,1.12660286564229,-0.000118490642293745
0.1484375,1.15,-49.0497361988606,1.13461581238262,0.0168685626173843
0.1484375,1.175,-48.9753413789357,1.13873848645915,0.0377458885408479
0.1484375,1.2,-48.9041936063938,1.14264092766092,0.0588434473390789
0.23046875,0.8,-50.1004429394967,1.05591207314457,-0.25360738564457
0.23046875,0.825,-50.0175100544057,1.06322466253839,-0.235919975038389
0.23046875,0.85,-49.9325288168601,1.07047275208111,-0.21816806458111
0.23046875,0.875,-49.8485397106616,1.07736905304775,-0.200064365547753
0.23046875,0.9,-49.765609580397,1.08391787925632,-0.181613191756322
0.23046875,0.925,-49.6836819798786,1.0901397986409,-0.162835111140898
0.23046875,0.95,-49.6027012372804,1.09605768791013,-0.14375300041013
0.23046875,0.975,-49.5226228351005,1.10169353696033,-0.124388849460332
0.23046875,1,-49.4434344996283,1.10705983102437,-0.104755143524373
0.23046875,1.025,-49.3655125794828,1.11203074172931,-0.0847260542293069
0.23046875,1.05,-49.288333334531,1.1168238184519,-0.0645191309519022
0.23046875,1.075,-49.211822135817,1.12147287801796,-0.0441681905179636
0.23046875,1.1,-49.1359402302503,1.12599539365231,-0.0236907061523077
0.23046875,1.125,-49.060662029646,1.13040078474051,-0.00309609724050897
0.23046875,1.15,-48.986015333362,1.13822651800924,0.014078169490757
0.23046875,1.175,-48.9120810666281,1.14228017717791,0.0350245103220854
0.23046875,1.2,-48.8413646598433,1.14612007848062,0.0561846090193809
0.3125,0.8,-50.027730419388,1.06214807489037,-0.259023074890368
0.3125,0.825,-49.9457439662814,1.06912879773354,-0.24100379773354
0.3125,0.85,-49.8616836971081,1.07605555887397,-0.222930558873974
0.3125,0.875,-49.7785558542939,1.0826566049855,-0.204531604985505
0.3125,0.9,-49.696430742132,1.08893769689629,-0.185812696896287
0.3125,0.925,-49.6152569497972,1.09491943909684,-0.166794439096844
0.3125,0.95,-49.5349836609096,1.10062395676632,-0.14749895676632
0.3125,0.975,-49.4555707040406,1.10607193321098,-0.127946933210978
0.3125,1,-49.3770087522171,1.11127473294795,-0.108149732947954
0.3125,1.025,-49.2996618013478,1.1161156792038,-0.0879906792038021
0.3125,1.05,-49.2230310770075,1.12079340586907,-0.0676684058690697
0.3125,1.075,-49.1470463013857,1.12533844684794,-0.0472134468479442
0.3125,1.1,-49.0716711918627,1.12976668464045,-0.0266416846404511
0.3125,1.125,-48.9968815660027,1.134085581043,-0.00596058104299813
0.3125,1.15,-48.9226980999277,1.14177250502428,0.0113524949757196
0.3125,1.175,-48.8492124290238,1.14576137966256,0.0323636203374433
0.3125,1.2,-48.7789165801984,1.14954248944185,0.05358251055815
0.39453125,0.8,-49.9558233152806,1.06807995674177,-0.264134644241774
0.39453125,0.825,-49.874727805454,1.07475894799047,-0.245813635490473
0.39453125,0.85,-49.7915364058427,1.08139463853301,-0.227449326033011
0.39453125,0.875,-49.7092232017993,1.08772912411887,-0.208783811618869
0.39453125,0.9,-49.627861700705,1.09376903872968,-0.189823726229681
0.39453125,0.925,-49.5474051255405,1.09953460066445,-0.170589288164452
0.39453125,0.95,-49.4678070791573,1.10504690911502,-0.151101596615019
0.39453125,0.975,-49.3890312980617,1.11032522133492,-0.13137990883492
0.39453125,1,-49.3110710479169,1.11537974478467,-0.111434432284673
0.39453125,1.025,-49.2342788766136,1.12010179424622,-0.0911564817462185
0.39453125,1.05,-49.1581786148729,1.12467341744954,-0.0707281049495396
0.39453125,1.075,-49.0827038834811,1.12912227783988,-0.050176965339878
0.39453125,1.1,-49.0078206062109,1.13346267207831,-0.0295173595783076
0.39453125,1.125,-48.9335058224158,1.13770097636121,-0.00875566386121229
0.39453125,1.15,-48.8597735426858,1.14525817797399,0.00868713452601133
0.39453125,1.175,-48.7867252425297,1.1491860684112,0.029759244088801
0.39453125,1.2,-48.7168397871249,1.15291185237772,0.0510334601222755
0.4765625,0.8,-49.8846725017268,1.07374147713757,-0.268975852137569
0.4765625,0.825,-49.8044182042234,1.08014571563859,-0.250380090638591
0.4765625,0.85,-49.7220489947646,1.08651718336902,-0.231751558369022
0.4765625,0.875,-49.6405086489657,1.09261033062322,-0.212844705623219
0.4765625,0.9,-49.5598736162716,1.09843221689005,-0.19366659189005
0.4765625,0.925,-49.4801013677803,1.10400237675669,-0.174236751756689
0.4765625,0.95,-49.4011495178346,1.10934071902539,-0.154575094025393
0.4765625,0.975,-49.3229853114018,1.11446503746934,-0.134699412469337
0.4765625,1,-49.2456042909029,1.11938440139623,-0.11461877639623
0.4765625,1.025,-49.1693483542807,1.12399716667607,-0.09423154167607
0.4765625,1.05,-49.0937618816262,1.12847077535567,-0.0737051503556707
0.4765625,1.075,-49.0187820017818,1.13283038504152,-0.0530647600415155
0.4765625,1.1,-48.9443766158591,1.13708889866656,-0.0323232736665586
0.4765625,1.125,-48.8705238410271,1.14125187783787,-0.011486252837865
0.4765625,1.15,-48.7972314330901,1.14868728915066,0.00607833584933903
0.4765625,1.175,-48.7246099371451,1.15255779618664,0.0272078288133626
0.4765625,1.2,-48.6551253003515,1.15623182418406,0.0485338008159444
0.55859375,0.8,-49.8142345970669,1.0791615185138,-0.273575581013802
0.55859375,0.825,-49.7347767908014,1.08531517732065,-0.254729239820651
0.55859375,0.85,-49.6531877927253,1.09144628010108,-0.235860342601075
0.55859375,0.875,-49.5723827115061,1.09732031377779,-0.216734376277792
0.55859375,0.9,-49.4924406797446,1.10294442170963,-0.197358484209626
